language_id,highlight_label,name
0,bash,bash
1,basic,BASIC
2,c,C
3,clojure,Clojure
4,coffeescript,CofeeScript
5,cpp,C++
6,cs,C#
7,css,CSS
8,d,D
9,dart,Dart
10,dockerfile,DockerFile
11,fortran,FORTRAN
12,fsharp,F#
13,glsl,GLSL
14,go,Go
15,gradle,gradle
16,haskell,Haskell
17,http,Http
18,java,Java
19,javascript,JavaScript
20,json,Json
21,kotlin,Kotlin
22,lisp,LISP
23,llvm,LLVM
24,lua,Lua
25,markdown,Markdown
26,objectivec,Objective-C
27,perl,Perl
28,php,PHP
29,plaintext,PlainText
30,powershell,PowerShell
31,protobuf,Protobuf
32,python,Python
33,r,R
34,ruby,Ruby
35,rust,Rust
36,scala,Scala
37,scheme,Scheme
38,shell,Shell
39,smalltalk,Smalltalk
40,sql,SQL
41,swift,Swift
42,typescript,TypeScript
43,vim,Vim
44,xml,XML
45,yaml,YAML
